Date,# of Stocks Up >4%  on high volume,# of stocks down >4%  on high volume,Oscillator % ratio,Primary Indicator,# of stocks up >25% in a quarter,# of stocks down >25% in a quarter,Oscillator % ratio,Secondary Indicators,# of stocks up >50% in a month,# of stocks down >50% in a month,,# of stocks up >25% in a month,# of stocks down >25% in a month,,# of stocks up >100% in a year,# of stocks up >200% in a year,,MM 34/13 +,MM 34/13 -,,,# of stocks in Worden Database
,300 plus significant,300 plus significant,,,Levels below 200 bullish,Levels below 200 bearish,,,"Bullish=<3, bearish>=20",bullish>=20,,"Ratio>1  bullish, Ratio<1  bearish",,,Bullish<100,Bearish>300,,Green Bullish,Red Bearish,,,
7/8,788,162,66,,545,1310,-41,,2,13,,17,298,,177,38,,,,,,
7/7,142,533,-58,,476,1552,-53,,2,26,,21,487,,,,,,,,,
7/3,31,111,-56,,514,1439,-47,,2,29,,31,591,,168,39,,,,,,
7/2,80,520,-73,,583,1391,-41,,8,19,,29,453,,,,,,,,,
7/1,132,267,-34,,681,1218,-28,,7,17,,42,344,,,,,,,,,
6/30,74,136,-30,,733,1178,-23,,7,13,,45,327,,,,,,,,,
6/27,233,395,-26,,781,1056,-15,,8,11,,47,296,,,,,,,,,
6/26,108,637,-71,,765,988,-13,,12,11,,46,273,,,,,,,,,
6/25,235,117,34,,893,821,4,,8,7,,52,174,,,,,,,,,
6/24,94,301,-52,,851,890,-2,,15,9,,66,194,,,,,,,,,
6/23,99,169,-26,,952,845,6,,21,9,,84,153,,255,69,,,,,,
6/20,89,415,-65,,1051,750,17,,15,10,,70,130,,249,68,,,,,,
6/19,191,148,13,,1202,667,29,,16,7,,90,113,,,,,,,,,
6/18,108,246,-39,,1178,685,26,,11,10,,76,155,,258,75,,,,,,
6/17,154,139,5,,1300,637,34,,13,8,,72,126,,262,72,,,,,,
6/16,209,67,51,,1328,623,36,,13,6,,74,114,,253,73,,,,,,
6/13,276,64,62,,1254,639,32,,12,6,,63,143,,235,61,,,,,,
6/12,148,140,3,,1150,716,23,,11,7,,59,147,,216,53,,,,,,
6/11,75,421,-70,,1132,713,23,,11,3,,60,144,,216,55,,,,,,
6/10,99,247,-43,,1284,610,36,,13,2,,71,93,,236,55,,,,,,
6/9,83,256,-51,,1392,582,41,,14,2,,100,70,,,,,,,,,
6/6,77,642,-79,,1473,525,47,,14,2,,119,60,,262,60,,,,,,
6/5,495,50,82,,1721,438,59,,20,2,,175,41,,285,62,,,,,,
6/4,140,101,16,,1529,517,49,,8,3,,109,76,,253,58,,,,,,
6/3,121,117,2,,1514,521,49,,18,3,,127,71,,242,60,,,,,,
6/2,120,214,-28,,1528,506,50,,21,4,,137,75,,247,57,,,,,,
5/30,202,108,30,,1618,490,54,,24,3,,155,68,,266,56,,,,,,
5/29,245,99,42,,1562,527,50,,17,0,,165,52,,245,53,,,,,,
5/28,240,88,46,,1500,557,46,,21,3,,152,63,,252,55,,,,,,
5/27,207,91,39,,1433,570,43,,12,4,,123,72,,234,53,,,,,,
5/23,75,145,-32,,1347,605,38,,18,4,,119,74,,234,58,,,,,,
5/22,148,103,18,,1476,579,44,,22,4,,160,61,,235,54,,,,,,
5/21,106,328,-51,,1479,585,43,,20,3,,178,58,,251,61,,,,,,
5/20,131,152,-7,,1539,541,48,,22,3,,206,51,,253,62,,,,,,
5/19,180,128,17,,1609,523,51,,20,2,,188,61,,259,62,,,,,,
5/16,183,124,19,,1610,531,50,,23,4,,198,69,,259,60,,,,,,
5/15,250,64,59,,1603,551,49,,29,4,,254,60,,,,,,,,,
5/14,180,126,18,,1494,568,45,,15,2,,202,73,,235,52,,,,,,
5/13,207,109,31,,1471,570,44,,27,2,,304,49,,233,57,,,,,,
5/12,308,84,57,,1444,579,43,,25,5,,286,48,,221,48,,,,,,
5/9,157,99,23,,1307,623,35,,17,6,,222,69,,,,,,,,,
5/8,214,117,29,,1332,606,37,,11,7,,147,78,,210,46,,,,,,
5/7,111,323,-49,,1308,612,36,,13,7,,147,68,,205,46,,,,,,
5/6,319,132,41,,1490,584,44,,13,8,,153,70,,,,,,,,,
5/5,150,127,8,,1424,607,40,,12,10,,118,87,,,,,,,,,
5/2,191,141,15,,1413,605,40,,14,9,,116,80,,,,,,,,,
5/1,466,112,61,,1443,601,41,,10,11,,123,71,,,,,,,,,
4/30,223,180,11,,1284,654,33,,15,10,,111,73,,183,38,,,,,,
4/29,132,245,-30,,1283,652,33,,12,12,,121,70,,181,37,,,,,,
4/28,224,91,42,,1380,645,36,,26,13,,213,61,,194,43,,,,,,
4/25,203,74,47,,1328,652,34,,24,11,,203,58,,190,37,,,,,,
4/24,337,148,39,,1271,684,30,,17,12,,157,71,,172,32,,,,,,
4/23,256,137,30,,1226,773,23,,18,11,,133,84,,171,33,,,,,,
4/22,99,394,-60,,1240,758,24,,20,12,,143,91,,179,37,,,,,,
4/21,121,108,6,,1404,690,34,,23,11,,226,67,,182,38,,,,,,
4/18,401,74,69,,1422,687,35,,33,8,,311,40,,185,38,,,,,,
4/17,128,121,3,,1283,756,26,,28,5,,280,38,,164,37,,,,,,
4/16,693,92,77,,1320,771,26,,20,4,,176,42,,171,36,,,,,,
4/15,174,138,12,,1057,873,10,,23,3,,214,38,,150,29,,,,,,
4/14,104,183,-28,,1004,911,5,,13,5,,118,57,,147,28,,,,,,
4/11,40,353,-80,,1017,863,8,,9,5,,84,57,,141,30,,,,,,
4/10,184,83,38,,1234,750,24,,14,4,,151,40,,163,36,,,,,,
4/9,73,353,-66,,1147,814,17,,14,5,,119,50,,155,30,,,,,,
4/8,98,110,-6,,1315,763,27,,29,3,,294,32,,165,33,,,,,,
4/7,154,94,24,,1324,798,25,,18,6,,185,48,,,,,,,,,
4/4,152,95,23,,1305,843,22,,14,6,,164,53,,162,31,,,,,,
4/3,182,91,33,,1276,890,18,,8,7,,90,84,,143,28,,,,,,
4/2,203,102,33,,1232,904,15,,6,8,,91,95,,139,28,,,,,,
4/1,945,82,84,,1176,945,11,,3,6,,93,104,,132,26,,,,,,
3/31,181,143,12,,929,1168,-11,,1,12,,49,154,,117,23,,,,,,
3/28,88,248,-48,,881,1211,-16,,0,16,,29,182,,119,23,,,,,,
3/27,161,237,-19,,960,1143,-9,,2,15,,31,196,,118,23,,,,,,
3/26,142,162,-7,,1059,1104,-2,,2,17,,35,171,,129,26,,,,,,
3/25,330,60,69,,1117,1065,2,,4,15,,50,165,,137,25,,,,,,
3/24,382,61,72,,980,1154,-8,,4,13,,67,172,,115,19,,,,,,
3/20,861,145,71,,775,1324,-26,,2,22,,47,220,,92,19,,,,,,
3/19,86,574,-74,,588,1472,-43,,3,27,,31,294,,91,16,,,,,,
3/18,1002,76,86,,743,1359,-29,,6,25,,47,237,,115,20,,,,,,
3/17,48,599,-85,,527,1682,-52,,4,28,,36,339,,99,18,,,,,,
3/14,53,368,-75,,625,1502,-41,,6,21,,46,270,,113,19,,,,,,
3/13,334,115,49,,739,1393,-31,,5,22,,45,270,,133,21,,,,,,
3/12,137,186,-15,,641,1503,-40,,5,18,,45,241,,116,19,,,,,,
3/11,1166,121,81,,652,1456,-38,,7,19,,55,220,,,,,,,,,
3/10,39,552,-87,,462,1755,-58,,5,15,,41,292,,93,16,,,,,,
3/7,94,310,-53,,563,1550,-47,,6,17,,67,238,,119,21,,,,,,
3/6,52,593,-84,,609,1496,-42,,8,14,,97,190,,,,,,,,,
3/5,174,101,27,,748,1257,-25,,10,15,,120,156,,,,,,,,,
3/4,96,223,-40,,701,1288,-30,,9,19,,60,206,,138,22,,,,,,
3/3,161,286,-28,,736,1240,-26,,9,18,,67,214,,147,22,,,,,,
2/29,72,642,-80,,763,1183,-22,,11,14,,85,143,,137,24,,,,,,
2/28,132,290,-37,,968,994,-1,,13,10,,169,97,,167,26,,,,,,
2/27,170,120,17,,1033,891,7,,12,8,,151,91,,177,29,,,,,,
2/26,348,72,66,,1037,894,7,,15,7,,172,75,,,,,,,,,
2/25,383,67,70,,914,959,-2,,18,4,,193,74,,,,,,,,,
2/22,125,140,-6,,795,1064,-14,,15,4,,142,86,,139,24,,,,,,
2/21,118,298,-43,,762,1092,-18,,24,4,,183,73,,,,,,,,,
2/20,224,116,32,,838,997,-9,,24,3,,290,55,,147,29,,,,,,
2/19,241,114,36,,742,1101,-19,,21,4,,234,74,,143,27,,,,,,
2/15,97,150,-21,,709,1124,-23,,19,6,,205,78,,134,27,,,,,,
2/14,107,392,-57,,739,1085,-19,,15,5,,158,89,,145,37,,,,,,
2/13,413,62,74,,855,979,-7,,24,6,,229,76,,159,34,,,,,,
2/12,190,140,15,,697,1167,-25,,10,8,,130,134,,130,27,,,,,,
2/11,236,137,27,,668,1231,-30,,12,7,,141,116,,137,33,,,,,,
2/8,144,155,-4,,637,1320,-35,,11,8,,113,155,,125,28,,,,,,
2/7,301,146,35,,682,1282,-31,,18,6,,151,136,,126,28,,,,,,
2/6,109,236,-37,,590,1391,-40,,15,6,,123,143,,116,26,,,,,,
2/5,71,797,-84,,641,1323,-35,,9,7,,82,143,,126,29,,,,,,
2/4,160,160,0,,870,1179,-15,,14,8,,152,118,,157,33,,,,,,
2/1,481,76,73,,941,1165,-11,,14,13,,116,168,,138,28,,,,,,
1/31,632,106,71,,785,1327,-26,,9,15,,68,239,,138,28,,,,,,
1/30,164,256,-22,,582,1486,-44,,6,13,,37,291,,129,27,,,,,,
1/29,344,98,56,,620,1447,-40,,3,10,,45,262,,130,31,,,,,,
1/28,379,68,70,,551,1525,-47,,2,10,,38,293,,126,28,,,,,,
1/25,153,162,-3,,431,1719,-60,,4,13,,40,432,,112,22,,,,,,
1/24,330,117,48,,475,1703,-56,,4,15,,37,380,,113,21,,,,,,
1/23,946,209,64,,417,1812,-63,,5,12,,42,407,,93,12,,,,,,
1/22,278,499,-28,,302,2069,-75,,4,14,,39,402,,92,14,,,,,,
1/18,137,323,-40,,327,2029,-72,,5,12,,37,333,,105,18,,,,,,
1/17,51,570,-84,,352,1946,-69,,6,11,,40,310,,106,21,,,,,,
1/16,312,420,-15,,420,1723,-61,,9,10,,53,201,,144,31,,,,,,
1/15,73,689,-81,,427,1770,-61,,7,8,,43,237,,160,31,,,,,,
1/14,285,98,49,,485,1579,-53,,7,7,,49,200,,202,37,,,,,,
1/11,98,320,-53,,423,1687,-60,,8,12,,36,250,,194,39,,,,,,
1/10,255,101,43,,472,1551,-53,,10,14,,45,199,,204,42,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1/8,92,510,-69,,390,1703,-63,,11,19,,47,280,,197,47,,,,,,
1/7,179,283,-23,,430,1534,-56,,10,13,,44,184,,212,46,,,,,,
1/4,59,875,-87,,428,1538,-56,,15,9,,57,135,,212,50,,,,,,
1/3,186,309,-25,,554,1309,-41,,17,5,,87,74,,257,53,,,,,,
1/2,133,299,-38,,559,1241,-38,,20,4,,88,62,,,,,,,,,
