Kuerzel;Sektor;Industry;Scan;Set-Up;Tag des Ausbruchs;Entry;$ Tag 1;$ Tag 1 Low;$ Tag 2;$ Tag 2 Low;$ Tag 2 High;$ Tag 3;$ Tag 3 Low;$ Tag 3 High;$ Tag 4;$ Tag 4 Low;$ Tag 4 High;$ Tag 5;$ Tag 5 Low;$ Tag 5 High;VIX CBOE 1-day;Move 1 day;Move 2 day;Move 3 day;Move 4 day;Move 5 day
TFPM;Basic;Industrial Metals & Minerals;Bidback;Consolidation;30.01.25;16,13 €;16,03 €;15,98 €;16,11 €;15,86 €;16,22 €;16,40 €;16,16 €;16,50 €;16,83 €;16,43 €;16,98 €;16,81 €;16,62 €;16,97 €;14,72;-0,62%;-0,12%;1,67%;4,34%;4,22%
NLY;Real Estate;REIT - Diversified;Bidback;Earning ;30.01.25;20,25 €;20,41 €;20,25 €;20,21 €;19,86 €;20,40 €;20,50 €;20,07 €;20,50 €;20,54 €;20,46 €;20,64 €;20,69 €;20,54 €;20,70 €;14,72;0,79%;-0,20%;1,23%;1,43%;2,17%
BWLP;Industrials;Shipping & Ports;Bidback;Gap up Breakout;30.01.25;13,26 €;12,67 €;12,50 €;12,55 €;12,30 €;12,76 €;13,17 €;12,48 €;13,17 €;13,24 €;13,01 €;13,28 €;13,06 €;12,81 €;13,12 €;14,72;-4,45%;-5,35%;-0,68%;-0,15%;-1,51%
CSAN;Energy;Oil & Gas Refining;Bidback;Bottom Bounce;30.01.25;5,38 €;5,39 €;5,37 €;5,43 €;5,20 €;5,45 €;5,44 €;5,30 €;5,47 €;5,25 €;5,22 €;5,36 €;5,38 €;5,22 €;5,39 €;14,72;0,19%;0,93%;1,12%;-2,42%;0,00%
TFSL;Financial;Banks - Regional;Bidback;Earning;31.01.25;13,49 €;13,48 €;13,34 €;13,72 €;13,46 €;13,83 €;13,71 €;13,58 €;13,81 €;13,88 €;13,65 €;13,94 €;13,65 €;13,63 €;23,86 €;16,51;-0,07%;1,70%;1,63%;2,89%;1,19%
ORC;Real Estate;REIT - Diversified;Bidback;Earning;31.01.25;7,99 €;8,25 €;7,93 €;8,29 €;8,15 €;8,29 €;8,30 €;8,22 €;8,35 €;8,31 €;8,26 €;8,33 €;8,28 €;8,20 €;8,31 €;16,51;3,25%;3,75%;3,88%;4,01%;3,63%
SRTS;Healthcare;Medical Devices;Bidback;Bottom Bounce;31.01.25;8,00 €;8,11 €;7,75 €;8,44 €;8,09 €;9,02 €;8,99 €;8,42 €;9,08 €;;;;;;;16,51;1,37%;5,50%;12,38%;-100,00%;-100,00%
EQX;Basic;Gold;Bidback;Continuation;03.02.25;6,45 €;6,61 €;6,45 €;6,66 €;6,60 €;6,86 €;6,69 €;6,53 €;6,72 €;6,63 €;6,58 €;6,80 €;6,86 €;6,74 €;6,93 €;18,25;2,48%;3,26%;3,72%;2,79%;6,36%
FDMT;Healthcare;Biotech;Bidback;Continuation;03.02.25;5,59 €;5,93 €;5,54 €;5,92 €;5,95 €;6,26 €;6,14 €;6,04 €;6,91 €;6,52 €;5,96 €;6,77 €;5,97 €;5,27 €;6,11 €;18,25;6,08%;5,90%;9,84%;16,64%;6,80%
PARR;Energy;Oil & Gas Refining;Bidback;Choppy;04.02.25;17,47 €;17,91 €;17,32 €;16,95 €;16,89 €;18,23 €;16,41 €;16,38 €;17,05 €;17,49 €;16,52 €;17,56 €;17,30 €;17,18 €;17,93 €;14,99;2,52%;-2,98%;-6,07%;0,11%;-0,97%
